Date, Time, Price (Rs.)
19/07/2019,20:45:05,"39,500.00"
21/07/2019,11:18:07,"40,490.00"
22/07/2019,19:57:58,"42,300.00"
24/07/2019,11:20:37,"40,490.00"
25/07/2019,13:19:36,"40,990.00"
26/07/2019,13:15:45,"40,990.00"
27/07/2019,10:54:59,"40,990.00"
27/07/2019,19:01:32,"40,990.00"
28/07/2019,18:09:36,"40,990.00"
29/07/2019,11:20:01,"40,990.00"
29/07/2019,11:30:11,"40,990.00"
30/07/2019,20:31:20,"40,990.00"
31/07/2019,17:32:36,"40,990.00"
03/08/2019,13:27:59,"40,990.00"
04/08/2019,12:28:15,"40,990.00"
23/08/2019,10:09:34,"38,490.00"
03/09/2019,22:17:11,"41,990.00"
08/09/2019,19:33:45,"42,300.00"
10/10/2019,12:53:21,"40,490.00"
